#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id 2	node2_external_id 2	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ndufa7	Ndufb8	5021910	5018490	ENSMUSP00000039692	ENSMUSP00000026222	0	0	0	0	0.860	0.891	0.900	0.587	0.999
Rps19	Rpl37a	5031943	5025033	ENSMUSP00000104067	ENSMUSP00000058919	0	0	0	0	0.941	0.889	0.900	0.509	0.999
Rpl37a	Rpl18a	5025033	5024944	ENSMUSP00000058919	ENSMUSP00000058368	0.170	0	0	0	0.933	0.801	0.900	0.418	0.999
Rps16	Rps18	5031918	5016094	ENSMUSP00000103940	ENSMUSP00000008812	0.113	0	0	0	0.828	0.950	0.720	0.621	0.999
Nipbl	Smc3	5025105	5018409	ENSMUSP00000059385	ENSMUSP00000025930	0	0	0	0	0.705	0.764	0.900	0.914	0.999
Ssrp1	Supt16	5027581	5022348	ENSMUSP00000076971	ENSMUSP00000042283	0	0	0	0	0.785	0.804	0.900	0.938	0.999
Rps16	Rps11	5031918	5015656	ENSMUSP00000103940	ENSMUSP00000003521	0.170	0	0	0	0.980	0.972	0.720	0.703	0.999
Rpl37a	Rps18	5025033	5016094	ENSMUSP00000058919	ENSMUSP00000008812	0	0	0	0	0.852	0.950	0.900	0.325	0.999
Ndufb8	Ndufa1	5018490	5016461	ENSMUSP00000026222	ENSMUSP00000016571	0	0	0	0	0.737	0.885	0.900	0.716	0.999
Rps16	Rps5	5031918	5015759	ENSMUSP00000103940	ENSMUSP00000004554	0.139	0	0	0	0.999	0.971	0.720	0.707	0.999
Rpl36	Rps25	5027972	5027947	ENSMUSP00000079340	ENSMUSP00000079180	0	0	0	0	0.879	0.950	0.900	0.557	0.999
Rpl18	Rps5	5031793	5015759	ENSMUSP00000103365	ENSMUSP00000004554	0	0	0	0	0.961	0.889	0.900	0.641	0.999
Tln1	Apbb1ip	5019606	5016294	ENSMUSP00000030187	ENSMUSP00000014290	0	0	0	0	0.088	0.981	0.900	0.484	0.999
Rps24	Rps11	5034648	5015656	ENSMUSP00000125977	ENSMUSP00000003521	0	0	0	0	0.999	0.970	0.720	0.793	0.999
Rps25	Rpl37a	5027947	5025033	ENSMUSP00000079180	ENSMUSP00000058919	0	0	0	0	0.999	0.970	0.900	0.165	0.999
Rps24	Rpl37a	5034648	5025033	ENSMUSP00000125977	ENSMUSP00000058919	0	0	0	0	0.942	0.970	0	0.647	0.999
Ndufa13	Ndufa7	5032274	5021910	ENSMUSP00000105796	ENSMUSP00000039692	0	0	0	0	0.860	0.947	0.900	0.304	0.999
Rpl37a	Rps5	5025033	5015759	ENSMUSP00000058919	ENSMUSP00000004554	0	0	0	0	0.964	0.970	0.900	0.393	0.999
Rpl18	Rps11	5031793	5015656	ENSMUSP00000103365	ENSMUSP00000003521	0	0	0	0	0.929	0.970	0.900	0.676	0.999
Rpl36	Rps5	5027972	5015759	ENSMUSP00000079340	ENSMUSP00000004554	0	0	0	0	0.889	0.950	0.900	0.521	0.999
Hspa1b	Hsp90ab1	5035960	5018045	ENSMUSP00000133815	ENSMUSP00000024739	0	0	0	0	0.278	0.769	0.900	0.953	0.999
Rps24	Rps9	5034648	5015940	ENSMUSP00000125977	ENSMUSP00000006496	0	0	0	0	0.836	0.970	0.720	0.633	0.999
Rpl36	Rps11	5027972	5015656	ENSMUSP00000079340	ENSMUSP00000003521	0	0	0	0	0.896	0.950	0.900	0.607	0.999
Atp5k	Atp5j	5023828	5017869	ENSMUSP00000051222	ENSMUSP00000023608	0	0	0	0	0.915	0.795	0.900	0.588	0.999
Rps19	Rps25	5031943	5027947	ENSMUSP00000104067	ENSMUSP00000079180	0	0	0	0	0.999	0.896	0.900	0.742	0.999
Rps9	Rps11	5015940	5015656	ENSMUSP00000006496	ENSMUSP00000003521	0.172	0	0	0	0.886	0.972	0.900	0.651	0.999
Rps18	Rps11	5016094	5015656	ENSMUSP00000008812	ENSMUSP00000003521	0.170	0	0	0	0.834	0.950	0.900	0.679	0.999
Ndufa13	Ndufb7	5032274	5021491	ENSMUSP00000105796	ENSMUSP00000037341	0	0	0	0	0.910	0.864	0.900	0.522	0.999
Rps19	Rps9	5031943	5015940	ENSMUSP00000104067	ENSMUSP00000006496	0	0	0.270	0	0.941	0.896	0.900	0.661	0.999
Rps9	Rps5	5015940	5015759	ENSMUSP00000006496	ENSMUSP00000004554	0.164	0	0	0	0.910	0.972	0.900	0.706	0.999
Rps19	Rps16	5031943	5031918	ENSMUSP00000104067	ENSMUSP00000103940	0	0	0	0	0.927	0.896	0.540	0.762	0.999
Rpl3	Rps11	5028126	5015656	ENSMUSP00000080354	ENSMUSP00000003521	0.170	0	0	0	0.999	0.862	0.900	0.622	0.999
Uqcr10	Uqcr11	5024399	5016898	ENSMUSP00000054856	ENSMUSP00000020372	0	0	0	0	0.920	0.811	0.900	0.686	0.999
Uqcr10	Uqcrq	5024399	5024138	ENSMUSP00000054856	ENSMUSP00000053145	0	0	0	0	0.833	0.811	0.900	0.862	0.999
Rps19	Rps11	5031943	5015656	ENSMUSP00000104067	ENSMUSP00000003521	0	0	0	0	0.999	0.896	0.900	0.675	0.999
Rps25	Rps9	5027947	5015940	ENSMUSP00000079180	ENSMUSP00000006496	0	0	0	0	0.883	0.971	0.900	0.543	0.999
Atp5o	Atp5j	5017883	5017869	ENSMUSP00000023677	ENSMUSP00000023608	0	0	0	0	0.922	0.805	0.900	0.702	0.999
Rps25	Rps5	5027947	5015759	ENSMUSP00000079180	ENSMUSP00000004554	0	0	0	0	0.960	0.971	0.900	0.757	0.999
Rpl3	Rps5	5028126	5015759	ENSMUSP00000080354	ENSMUSP00000004554	0.139	0	0	0	0.999	0.847	0.900	0.681	0.999
Rps16	Rps25	5031918	5027947	ENSMUSP00000103940	ENSMUSP00000079180	0	0	0	0	0.939	0.971	0.720	0.507	0.999
Rps24	Rps25	5034648	5027947	ENSMUSP00000125977	ENSMUSP00000079180	0	0	0	0	0.999	0.970	0.720	0.820	0.999
Rps19	Rps5	5031943	5015759	ENSMUSP00000104067	ENSMUSP00000004554	0	0	0	0	0.961	0.896	0.900	0.762	0.999
Rps18	Rps9	5016094	5015940	ENSMUSP00000008812	ENSMUSP00000006496	0.139	0	0	0	0.768	0.950	0.900	0.608	0.999
Supt5	Supt6	5015657	5015506	ENSMUSP00000003527	ENSMUSP00000002121	0	0	0	0	0.805	0.707	0.900	0.934	0.999
Rpl18	Rpl37a	5031793	5025033	ENSMUSP00000103365	ENSMUSP00000058919	0.046	0	0	0	0.941	0.969	0.900	0.237	0.999
Rps16	Rpl18	5031918	5031793	ENSMUSP00000103940	ENSMUSP00000103365	0.170	0	0	0	0.940	0.970	0	0.840	0.999
Ndufb7	Ndufb8	5021491	5018490	ENSMUSP00000037341	ENSMUSP00000026222	0	0	0	0	0.888	0.857	0.900	0.478	0.999
Rps25	Rps18	5027947	5016094	ENSMUSP00000079180	ENSMUSP00000008812	0	0	0	0	0.844	0.950	0.900	0.304	0.999
Rps19	Rpl3	5031943	5028126	ENSMUSP00000104067	ENSMUSP00000080354	0	0	0	0	0.999	0.861	0.900	0.727	0.999
Ndufa7	Ndufb7	5021910	5021491	ENSMUSP00000039692	ENSMUSP00000037341	0	0	0	0	0.925	0.917	0.900	0.621	0.999
Rps19	Rpl18	5031943	5031793	ENSMUSP00000104067	ENSMUSP00000103365	0	0.371	0	0	0.955	0.887	0.900	0.609	0.999
Rpl3	Rps25	5028126	5027947	ENSMUSP00000080354	ENSMUSP00000079180	0	0	0	0	0.999	0.854	0.900	0.336	0.999
Uba52	Rps25	5034113	5027947	ENSMUSP00000120096	ENSMUSP00000079180	0	0	0	0	0.704	0.945	0.900	0.549	0.999
Uqcrq	Cox5a	5024138	5015244	ENSMUSP00000053145	ENSMUSP00000000090	0	0	0	0	0.813	0.783	0.900	0.701	0.998
Rpl18	Rpl3	5031793	5028126	ENSMUSP00000103365	ENSMUSP00000080354	0	0	0	0	0.871	0.820	0.900	0.543	0.998
Smc1a	Smc3	5022734	5018409	ENSMUSP00000044645	ENSMUSP00000025930	0	0	0.339	0.563	0.810	0.894	0.900	0.950	0.998
Cd74	H2-Ab1	5029925	5022126	ENSMUSP00000095171	ENSMUSP00000041008	0	0	0	0	0.897	0.688	0.900	0.540	0.998
Rps24	Rps5	5034648	5015759	ENSMUSP00000125977	ENSMUSP00000004554	0	0	0	0	0.885	0.889	0.720	0.585	0.998
Rps24	Rps18	5034648	5016094	ENSMUSP00000125977	ENSMUSP00000008812	0	0	0	0	0.815	0.950	0.720	0.645	0.998
Rpl18	Rpl36	5031793	5027972	ENSMUSP00000103365	ENSMUSP00000079340	0	0	0	0	0.865	0.748	0.900	0.640	0.998
Ndufc1	Ndufa1	5021679	5016461	ENSMUSP00000038463	ENSMUSP00000016571	0	0	0	0	0.667	0.918	0.900	0.478	0.998
Rpl18a	Rps5	5024944	5015759	ENSMUSP00000058368	ENSMUSP00000004554	0	0	0	0	0.936	0.801	0.900	0.109	0.998
Uba52	Rpl37a	5034113	5025033	ENSMUSP00000120096	ENSMUSP00000058919	0	0	0	0	0.709	0.945	0.900	0.225	0.998
Uba52	Rps9	5034113	5015940	ENSMUSP00000120096	ENSMUSP00000006496	0	0	0	0	0.713	0.945	0.900	0.189	0.998
Rplp0	Rpl37a	5028544	5025033	ENSMUSP00000083705	ENSMUSP00000058919	0	0	0	0	0.864	0.958	0.720	0.309	0.998
Rpl36	Rps18	5027972	5016094	ENSMUSP00000079340	ENSMUSP00000008812	0	0	0	0	0.666	0.929	0.900	0.381	0.998
Uqcr10	Cox5a	5024399	5015244	ENSMUSP00000054856	ENSMUSP00000000090	0	0	0	0	0.860	0.782	0.900	0.589	0.998
Ndufa7	Ndufc1	5021910	5021679	ENSMUSP00000039692	ENSMUSP00000038463	0	0	0	0	0.641	0.933	0.900	0.461	0.998
Atp5k	Atp5o	5023828	5017883	ENSMUSP00000051222	ENSMUSP00000023677	0	0	0	0	0.863	0.795	0.900	0.580	0.998
Uba52	Rps11	5034113	5015656	ENSMUSP00000120096	ENSMUSP00000003521	0	0	0	0	0.705	0.945	0.900	0.072	0.998
Rps19	Rpl36	5031943	5027972	ENSMUSP00000104067	ENSMUSP00000079340	0	0	0	0	0.881	0.768	0.900	0.634	0.998
Uqcrq	Ndufb7	5024138	5021491	ENSMUSP00000053145	ENSMUSP00000037341	0	0	0	0	0.851	0.812	0.900	0.578	0.998
Rps16	Rpl37a	5031918	5025033	ENSMUSP00000103940	ENSMUSP00000058919	0	0	0	0	0.943	0.970	0	0.350	0.998
Cd74	H2-Aa	5029925	5022978	ENSMUSP00000095171	ENSMUSP00000046105	0	0	0	0	0.845	0.817	0.900	0.484	0.998
Rps19	Rps18	5031943	5016094	ENSMUSP00000104067	ENSMUSP00000008812	0	0	0	0	0.834	0.768	0.900	0.625	0.998
Ndufb8	Uqcr11	5018490	5016898	ENSMUSP00000026222	ENSMUSP00000020372	0	0	0	0	0.904	0.739	0.900	0.557	0.998
Uba52	Rps5	5034113	5015759	ENSMUSP00000120096	ENSMUSP00000004554	0	0	0	0	0.711	0.945	0.900	0	0.998
Uqcrq	Uqcr11	5024138	5016898	ENSMUSP00000053145	ENSMUSP00000020372	0	0	0	0	0.851	0.820	0.900	0.632	0.998
Ndufb7	Uqcr11	5021491	5016898	ENSMUSP00000037341	ENSMUSP00000020372	0	0	0	0	0.940	0.663	0.900	0.459	0.998
Uqcr10	Ndufa7	5024399	5021910	ENSMUSP00000054856	ENSMUSP00000039692	0	0	0	0	0.896	0.770	0.900	0.336	0.998
Uqcrq	Ndufb8	5024138	5018490	ENSMUSP00000053145	ENSMUSP00000026222	0	0	0	0	0.913	0.739	0.900	0.462	0.998
Cyba	Cybb	5016519	5016368	ENSMUSP00000017604	ENSMUSP00000015484	0	0	0	0	0.287	0.552	0.900	0.945	0.998
Ndufc1	Ndufb7	5021679	5021491	ENSMUSP00000038463	ENSMUSP00000037341	0	0	0	0	0.687	0.869	0.900	0.489	0.997
Uqcr11	Ndufa1	5016898	5016461	ENSMUSP00000020372	ENSMUSP00000016571	0	0	0	0	0.866	0.739	0.900	0.464	0.997
Ndufa13	Uqcr10	5032274	5024399	ENSMUSP00000105796	ENSMUSP00000054856	0	0	0	0	0.856	0.739	0.900	0.361	0.997
Ndufa7	Ndufa1	5021910	5016461	ENSMUSP00000039692	ENSMUSP00000016571	0	0	0	0	0.656	0.880	0.900	0.493	0.997
Uqcr10	Ndufb8	5024399	5018490	ENSMUSP00000054856	ENSMUSP00000026222	0	0	0	0	0.864	0.739	0.900	0.359	0.997
Uba52	Rpl36	5034113	5027972	ENSMUSP00000120096	ENSMUSP00000079340	0	0	0	0	0.506	0.923	0.900	0.386	0.997
Rplp0	Rps5	5028544	5015759	ENSMUSP00000083705	ENSMUSP00000004554	0.139	0	0	0	0.923	0.958	0	0.305	0.997
Rps25	Rpl18a	5027947	5024944	ENSMUSP00000079180	ENSMUSP00000058368	0	0	0	0	0.844	0.801	0.900	0.215	0.997
Rpl3	Rpl37a	5028126	5025033	ENSMUSP00000080354	ENSMUSP00000058919	0	0	0	0	0.808	0.859	0.900	0.320	0.997
Cd74	H2-Eb1	5029925	5027110	ENSMUSP00000095171	ENSMUSP00000074143	0	0	0	0	0.873	0.739	0.900	0.254	0.997
Rpl18	Rpl18a	5031793	5024944	ENSMUSP00000103365	ENSMUSP00000058368	0	0	0	0	0.874	0.799	0.900	0.284	0.997
Uqcr11	Cox5a	5016898	5015244	ENSMUSP00000020372	ENSMUSP00000000090	0	0	0	0	0.829	0.782	0.900	0.473	0.997
Rpl3	Rps18	5028126	5016094	ENSMUSP00000080354	ENSMUSP00000008812	0.113	0	0	0	0.816	0.765	0.900	0.503	0.997
Uqcrq	Ndufa1	5024138	5016461	ENSMUSP00000053145	ENSMUSP00000016571	0	0	0	0	0.757	0.739	0.900	0.603	0.997
Nipbl	Smc1a	5025105	5022734	ENSMUSP00000059385	ENSMUSP00000044645	0	0	0	0	0.283	0.625	0.900	0.905	0.997
Rps19	Rpl18a	5031943	5024944	ENSMUSP00000104067	ENSMUSP00000058368	0.172	0	0	0	0.831	0.801	0.900	0.304	0.997
Uqcrq	Ndufa7	5024138	5021910	ENSMUSP00000053145	ENSMUSP00000039692	0	0	0	0	0.772	0.795	0.900	0.553	0.997
Ndufa13	Ndufb8	5032274	5018490	ENSMUSP00000105796	ENSMUSP00000026222	0	0	0	0	0.797	0.857	0.900	0.368	0.997
Ndufa13	Uqcr11	5032274	5016898	ENSMUSP00000105796	ENSMUSP00000020372	0	0	0	0	0.898	0.739	0.900	0.176	0.997
Ndufc1	Uqcr11	5021679	5016898	ENSMUSP00000038463	ENSMUSP00000020372	0	0	0	0	0.811	0.770	0.900	0.527	0.997
Rps19	Rpl29	5031943	5028103	ENSMUSP00000104067	ENSMUSP00000080203	0	0	0	0	0.656	0.708	0.900	0.667	0.996
Cox6a1	Cox5a	5023246	5015244	ENSMUSP00000047661	ENSMUSP00000000090	0	0	0	0	0.840	0.791	0.540	0.812	0.996
Rpl3	Rpl36	5028126	5027972	ENSMUSP00000080354	ENSMUSP00000079340	0	0	0	0	0.776	0.760	0.900	0.423	0.996
Atp6v0b	Atp6v1f	5023254	5015748	ENSMUSP00000047682	ENSMUSP00000004396	0.139	0	0	0	0.480	0.601	0.900	0.814	0.996
Rpl18a	Rps11	5024944	5015656	ENSMUSP00000058368	ENSMUSP00000003521	0	0	0	0	0.847	0.801	0.900	0.067	0.996
Uba52	Rps18	5034113	5016094	ENSMUSP00000120096	ENSMUSP00000008812	0	0	0	0	0.546	0.923	0.900	0.164	0.996
Rplp0	Rps9	5028544	5015940	ENSMUSP00000083705	ENSMUSP00000006496	0.139	0	0	0	0.857	0.958	0	0.431	0.996
Rpl3	Rpl18a	5028126	5024944	ENSMUSP00000080354	ENSMUSP00000058368	0	0	0	0	0.823	0.798	0.900	0.225	0.996
Uqcr10	Ndufb7	5024399	5021491	ENSMUSP00000054856	ENSMUSP00000037341	0	0	0	0	0.861	0.663	0.900	0.251	0.996
Rpl18a	Rps9	5024944	5015940	ENSMUSP00000058368	ENSMUSP00000006496	0	0	0	0	0.826	0.801	0.900	0.142	0.996
Rplp0	Rps11	5028544	5015656	ENSMUSP00000083705	ENSMUSP00000003521	0.170	0	0	0	0.871	0.958	0	0.243	0.996
Uqcr10	Ndufa1	5024399	5016461	ENSMUSP00000054856	ENSMUSP00000016571	0	0	0	0	0.812	0.739	0.900	0.337	0.996
Ndufa13	Ndufa1	5032274	5016461	ENSMUSP00000105796	ENSMUSP00000016571	0	0	0	0	0.494	0.866	0.900	0.560	0.996
Ndufb7	Ndufa1	5021491	5016461	ENSMUSP00000037341	ENSMUSP00000016571	0	0	0	0	0.392	0.846	0.900	0.541	0.995
Rps24	Rpl36	5034648	5027972	ENSMUSP00000125977	ENSMUSP00000079340	0	0	0	0	0.792	0.938	0	0.703	0.995
Rpl29	Rps9	5028103	5015940	ENSMUSP00000080203	ENSMUSP00000006496	0	0	0	0	0.657	0.708	0.900	0.573	0.995
Rpl18	Rpl29	5031793	5028103	ENSMUSP00000103365	ENSMUSP00000080203	0	0	0	0	0.728	0.631	0.900	0.594	0.995
Eif4b	Eif4a1	5034963	5034839	ENSMUSP00000127774	ENSMUSP00000127034	0	0	0	0	0.381	0.353	0.900	0.909	0.995
Rps16	Rpl3	5031918	5028126	ENSMUSP00000103940	ENSMUSP00000080354	0.113	0	0	0	0.923	0.862	0	0.547	0.995
Eif4b	Eif3a	5034963	5018416	ENSMUSP00000127774	ENSMUSP00000025955	0	0	0	0	0.765	0.197	0.900	0.807	0.995
Ndufc1	Ndufb8	5021679	5018490	ENSMUSP00000038463	ENSMUSP00000026222	0	0	0	0	0.431	0.884	0.900	0.353	0.995
Rps16	Rpl36	5031918	5027972	ENSMUSP00000103940	ENSMUSP00000079340	0	0	0	0	0.810	0.950	0	0.579	0.995
Atp6v1g1	Atp6v1f	5023452	5015748	ENSMUSP00000048770	ENSMUSP00000004396	0	0	0	0	0.670	0.659	0.900	0.664	0.995
Rpl36	Rpl18a	5027972	5024944	ENSMUSP00000079340	ENSMUSP00000058368	0	0	0	0	0.859	0.710	0.900	0.136	0.995
Rps16	Rplp0	5031918	5028544	ENSMUSP00000103940	ENSMUSP00000083705	0.113	0	0	0	0.848	0.958	0	0.238	0.995
Rpl29	Rps5	5028103	5015759	ENSMUSP00000080203	ENSMUSP00000004554	0	0	0	0	0.699	0.709	0.900	0.469	0.994
Ndufa13	Uqcrq	5032274	5024138	ENSMUSP00000105796	ENSMUSP00000053145	0	0	0	0	0.818	0.739	0.900	0.059	0.994
Ndufa13	Ndufc1	5032274	5021679	ENSMUSP00000105796	ENSMUSP00000038463	0	0	0	0	0.445	0.884	0.900	0.271	0.994
Tceb2	Socs3	5026018	5025071	ENSMUSP00000066210	ENSMUSP00000059129	0	0	0	0	0	0.882	0.900	0.488	0.993
Rpl29	Rpl37a	5028103	5025033	ENSMUSP00000080203	ENSMUSP00000058919	0	0	0	0	0.654	0.709	0.900	0.421	0.993
Rplp0	Rpl3	5028544	5028126	ENSMUSP00000083705	ENSMUSP00000080354	0.113	0	0	0	0.853	0.788	0.720	0.289	0.993
Uba52	Rplp0	5034113	5028544	ENSMUSP00000120096	ENSMUSP00000083705	0	0	0	0	0.636	0.932	0.720	0.192	0.993
Uba52	Rps19	5034113	5031943	ENSMUSP00000120096	ENSMUSP00000104067	0	0	0	0	0.712	0.742	0.900	0.225	0.993
H2-Eb1	H2-Ab1	5027110	5022126	ENSMUSP00000074143	ENSMUSP00000041008	0	0	0	0.959	0.935	0	0.900	0.712	0.993
Rpl18	Rplp0	5031793	5028544	ENSMUSP00000103365	ENSMUSP00000083705	0	0	0	0	0.865	0.798	0.720	0.255	0.993
Rplp0	Rps25	5028544	5027947	ENSMUSP00000083705	ENSMUSP00000079180	0	0	0	0	0.830	0.958	0	0.147	0.993
Uqcr10	Ndufc1	5024399	5021679	ENSMUSP00000054856	ENSMUSP00000038463	0	0	0	0	0.424	0.770	0.900	0.521	0.992
Iqgap1	Clip1	5035041	5032498	ENSMUSP00000128278	ENSMUSP00000107192	0	0	0	0	0.116	0.511	0.900	0.838	0.992
Eif4a1	Eif4g3	5034839	5028275	ENSMUSP00000127034	ENSMUSP00000081233	0	0	0	0	0.082	0.679	0.900	0.779	0.992
Rpl29	Rps25	5028103	5027947	ENSMUSP00000080203	ENSMUSP00000079180	0	0	0	0	0.652	0.722	0.900	0.340	0.992
Uba52	Rpl18	5034113	5031793	ENSMUSP00000120096	ENSMUSP00000103365	0	0	0	0	0.711	0.741	0.900	0.118	0.992
Supt16	Supt6	5022348	5015506	ENSMUSP00000042283	ENSMUSP00000002121	0	0	0	0	0.192	0.262	0.900	0.890	0.992
Supt16	Supt5	5022348	5015657	ENSMUSP00000042283	ENSMUSP00000003527	0	0	0	0	0.283	0.354	0.900	0.861	0.992
H2-Ab1	H2-DMa	5022126	5021450	ENSMUSP00000041008	ENSMUSP00000037088	0	0	0	0	0.680	0.423	0.900	0.621	0.992
H2-Eb1	H2-DMa	5027110	5021450	ENSMUSP00000074143	ENSMUSP00000037088	0	0	0	0	0.549	0.615	0.900	0.580	0.991
Rpl18a	Rps18	5024944	5016094	ENSMUSP00000058368	ENSMUSP00000008812	0	0	0	0	0.710	0.710	0.900	0.155	0.991
Rpl3	Rpl29	5028126	5028103	ENSMUSP00000080354	ENSMUSP00000080203	0	0	0	0	0.646	0.635	0.900	0.448	0.991
Lyz2	Lyz1	5029184	5029183	ENSMUSP00000089801	ENSMUSP00000089800	0	0	0	0.983	0.922	0	0.900	0.534	0.991
Uqcrq	Cox6a1	5024138	5023246	ENSMUSP00000053145	ENSMUSP00000047661	0	0	0	0	0.867	0.712	0.540	0.562	0.991
Hnrnpa2b1	Hnrnpu	5033031	5023231	ENSMUSP00000110103	ENSMUSP00000047571	0	0	0	0	0.770	0.131	0.900	0.591	0.990
Hnrnpa2b1	Snrnp70	5033031	5027114	ENSMUSP00000110103	ENSMUSP00000074160	0	0	0	0	0.795	0.276	0.900	0.436	0.990
Atp6v1g1	Atp6v0b	5023452	5023254	ENSMUSP00000048770	ENSMUSP00000047682	0	0	0	0	0.194	0.415	0.900	0.816	0.990
Ndufa4	Uqcr11	5020052	5016898	ENSMUSP00000031637	ENSMUSP00000020372	0	0	0	0	0.783	0	0.900	0.588	0.990
Rplp0	Rps18	5028544	5016094	ENSMUSP00000083705	ENSMUSP00000008812	0.113	0	0	0	0.700	0.939	0	0.487	0.990
Rpl29	Rps11	5028103	5015656	ENSMUSP00000080203	ENSMUSP00000003521	0	0	0	0	0.661	0.710	0.900	0.175	0.990
Uqcrq	Ndufc1	5024138	5021679	ENSMUSP00000053145	ENSMUSP00000038463	0	0	0	0	0.245	0.770	0.900	0.535	0.990
Rpl35	Rpl37a	5028024	5025033	ENSMUSP00000079672	ENSMUSP00000058919	0	0	0	0	0.855	0.738	0.720	0.084	0.989
Ssrp1	Supt6	5027581	5015506	ENSMUSP00000076971	ENSMUSP00000002121	0	0	0	0	0.136	0.355	0.900	0.840	0.989
Sart1	Ddx23	5023196	5015647	ENSMUSP00000047397	ENSMUSP00000003450	0	0	0	0	0.151	0.754	0.900	0.532	0.988
Usmg5	Atp5o	5029742	5017883	ENSMUSP00000093713	ENSMUSP00000023677	0	0	0	0	0.819	0	0.900	0.391	0.988
Rplp0	Rpl18a	5028544	5024944	ENSMUSP00000083705	ENSMUSP00000058368	0.139	0	0	0	0.817	0.741	0.720	0.144	0.988
Rpl29	Rpl36	5028103	5027972	ENSMUSP00000080203	ENSMUSP00000079340	0	0	0	0	0.441	0.601	0.900	0.553	0.988
Rpl29	Rps18	5028103	5016094	ENSMUSP00000080203	ENSMUSP00000008812	0	0	0	0	0.488	0.606	0.900	0.497	0.988
Rpl18	Rpl35	5031793	5028024	ENSMUSP00000103365	ENSMUSP00000079672	0	0	0	0	0.795	0.732	0.720	0.261	0.987
Uba52	Rpl18a	5034113	5024944	ENSMUSP00000120096	ENSMUSP00000058368	0	0	0	0	0.590	0.680	0.900	0.177	0.987
Hspa1b	Dnaja1	5035960	5019579	ENSMUSP00000133815	ENSMUSP00000030118	0.043	0	0.434	0	0.299	0.317	0.900	0.597	0.987
Rps24	Rpl18	5034648	5031793	ENSMUSP00000125977	ENSMUSP00000103365	0	0	0	0	0.839	0.798	0	0.639	0.987
Uba52	Rpl3	5034113	5028126	ENSMUSP00000120096	ENSMUSP00000080354	0	0	0	0	0.559	0.698	0.900	0.162	0.987
Rps24	Uba52	5034648	5034113	ENSMUSP00000125977	ENSMUSP00000120096	0.161	0	0	0	0.689	0.945	0	0.225	0.987
Uba52	Rps16	5034113	5031918	ENSMUSP00000120096	ENSMUSP00000103940	0	0	0	0	0.737	0.945	0	0.136	0.986
